m,L,P,r,T,rho,epsilon,kappa,del_rad,del_ad,del_actual,convective
1.989e+23,2.3210139780510866e+24,1.4115248705881448e+17,8411743.094806474,13088358.1643053,79.77890165009451,11.669239075463217,1.7187409724244713,0.3803444732731546,0.39937287844793967,0.3803444732731546,0
9.954956941963964e+29,1.1414167074762137e+31,1.3931657902272837e+17,1441204624.2334924,13023472.32405749,79.13383999168136,11.33140956084779,1.7307307753516783,0.37888363537135444,0.3993771069845356,0.37888363537135444,0
1.990991189492793e+30,2.2593804088944354e+31,1.3824367919969187e+17,1817541941.631293,12985423.626973374,78.75466502931897,11.13692458137017,1.7378195520547206,0.37802572095597525,0.3993795684929623,0.37802572095597525,0
2.986486684789189e+30,3.359850882789645e+31,1.3734694524889371e+17,2082248284.5274634,12953547.819397982,78.43648931185948,10.976017753022221,1.7437915364434269,0.3773061775803797,0.39938162035723157,0.3773061775803797,0
3.9819821800855857e+30,4.445317734590639e+31,1.3654899596563653e+17,2293464228.9866962,12925125.632170403,78.15239237226761,10.834084494561539,1.7491422052648098,0.3766638057177465,0.3993834419955963,0.3766638057177465,0
4.9774776753819823e+30,5.51733175284575e+31,1.3581763019659211e+17,2472208875.002013,12899026.837539915,77.89119167482667,10.70501943995491,1.7540769249489654,0.37607341394117483,0.3993851081358293,0.37607341394117483,0
5.972973170678379e+30,6.576994021281341e+31,1.3513556957266394e+17,2628756917.2488537,12874645.31828949,77.64689869245082,10.585532262245838,1.7587056026275103,0.37552120753824675,0.3993866589689038,0.37552120753824675,0
6.968468665974776e+30,7.625151321724357e+31,1.3449212128141843e+17,2769005046.792381,12851606.628435353,77.41581017355051,10.473581088613425,1.7630959464757385,0.37499896285171624,0.39938811932000556,0.37499896285171624,0
7.963964161271172e+30,8.662478653650644e+31,1.3388015190753338e+17,2896675620.110725,12829660.76854159,77.19546220714344,10.367797334686001,1.767293127513189,0.37450086820090134,0.3993895058500461,0.37450086820090134,0
8.959459656567569e+30,9.68954182648229e+31,1.3329450901467118e+17,3014311839.9799747,12808627.713441998,76.98407355468197,10.267192042763561,1.7713295607854875,0.3740231623901148,0.3993908305088156,0.3740231623901148,0
9.954955151863965e+30,1.0706816171072165e+32,1.3273143445300664e+17,3123696108.9798164,12788375.984783173,76.78034980198925,10.171039372526193,1.775228901636409,0.37356265850052595,0.3993921020877982,0.37356265850052595,0
1.0950450647160362e+31,1.1714714518785002e+32,1.3218799086927851e+17,3226170419.0368237,12768802.84278384,76.58327979428171,10.078771361873457,1.7790096231128365,0.37311709524000847,0.39939332746178163,0.37311709524000847,0
1.1945946142456758e+31,1.2713602948773961e+32,1.31661835629807e+17,3322762775.484868,12749826.644624537,76.39205601017493,9.98993508502322,1.7826863456999706,0.3726847932636625,0.3993945120653429,0.3726847932636625,0
1.2941441637753155e+31,1.3703804983196058e+32,1.3115110956525744e+17,3414264501.216959,12731382.577718647,76.20603949882552,9.904169140742695,1.7862706567783004,0.3722642452366712,0.39939566023564604,0.3722642452366712,0
1.393693713304955e+31,1.4685607733514464e+32,1.3065429560740736e+17,3501305299.6939325,12713417.608499376,76.02471095263726,9.821177030722582,1.789772049574238,0.37185412366155957,0.3993967755531502,0.37185412366155957,0
